Id,Probability
1,0.43438074
2,0.3818606
3,0.15216626
4,0.63317764
5,0.65158033
6,0.1787306
7,0.2842688
8,0.19474612
9,0.067619614
10,0.9898701
11,0.1749764
12,0.17133062
13,0.12468316
14,0.43605265
15,0.31181946
16,0.1860895
17,0.23641302
18,0.20269914
19,0.7459867
20,0.55376256
21,0.15319167
22,0.14314708
23,0.1124844
24,0.9265702
25,0.5579855
26,0.18243562
27,0.4801003
28,0.08151325
29,0.5204214
30,0.25322315
31,0.41027728
32,0.094687596
33,0.13229787
34,0.37041718
35,0.89627784
36,0.3811586
37,0.34395167
38,0.17312253
39,0.1652793
40,0.44655073
41,0.8258919
42,0.9075031
43,0.5142626
44,0.1399189
45,0.48720008
46,0.06797966
47,0.052858956
48,0.19069387
49,0.17860593
50,0.2838291
51,0.15609647
52,0.10506383
53,0.15419845
54,0.5957468
55,0.24652132
56,0.5872544
57,0.10408137
58,0.68601567
59,0.51903784
60,0.6508324
61,0.07369884
62,0.13981585
63,0.24823828
64,0.12280685
65,0.20061834
66,0.2062715
67,0.16595444
68,0.5245509
69,0.13096942
70,0.93821645
71,0.16269976
72,0.595359
73,0.12159143
74,0.76013076
75,0.17543088
76,0.27373633
77,0.37657577
78,0.36584985
79,0.1358229
80,0.21156834
81,0.15328269
82,0.15580277
83,0.2436841
84,0.097626686
85,0.1850394
86,0.15954104
87,0.5883461
88,0.11224173
89,0.3322291
90,0.3022095
91,0.27099806
92,0.18304114
93,0.13505647
94,0.17738068
95,0.12257506
96,0.8049806
97,0.22240938
98,0.4493944
99,0.13566637
100,0.19439758
101,0.36174428
102,0.54692143
103,0.07213346
104,0.41900223
105,0.58948666
106,0.29659507
107,0.8977648
108,0.14247267
109,0.13691044
110,0.21908538
111,0.22790529
112,0.34200138
113,0.24904351
114,0.8953103
115,0.6517278
116,0.1478315
117,0.060058493
118,0.6594607
119,0.17846733
120,0.14021552
121,0.1534419
122,0.45207554
123,0.15622008
124,0.92177016
125,0.14610946
126,0.22450192
127,0.070129514
128,0.19151397
129,0.08943251
130,0.42485783
131,0.3579008
132,0.56217
133,0.10256657
134,0.4392274
135,0.6108284
136,0.12927699
137,0.67180437
138,0.24789998
139,0.12702215
140,0.16815859
141,0.09010519
142,0.14072378
143,0.11216084
144,0.16189465
145,0.81945795
146,0.15900788
147,0.08827219
148,0.64465487
149,0.11204532
150,0.33242396
151,0.09482665
152,0.11666746
153,0.105062805
154,0.13456868
155,0.16047002
156,0.17999062
157,0.49223292
158,0.06246882
159,0.620049
160,0.17602988
161,0.112622306
162,0.123753816
163,0.19049989
164,0.28874317
165,0.12518467
166,0.2842296
167,0.9310324
168,0.35983086
169,0.83623636
170,0.13457146
171,0.08539796
172,0.14189863
173,0.20253241
174,0.41468537
175,0.19001673
176,0.85480654
177,0.19782268
178,0.49174985
179,0.12776928
180,0.14317615
181,0.53620404
182,0.13092214
183,0.14882244
184,0.17113659
185,0.5893718
186,0.08124135
187,0.11731715
188,0.18456611
189,0.305195
190,0.23733276
191,0.12049731
192,0.2291915
193,0.15221952
194,0.43771875
195,0.13637266
196,0.28970027
197,0.08997631
198,0.15902768
199,0.119997896
200,0.108958565
201,0.5673513
202,0.14799625
203,0.9311595
204,0.24549799
205,0.34912762
206,0.08704646
207,0.22802094
208,0.07907729
209,0.5187078
210,0.07006632
211,0.6333066
212,0.26589626
213,0.15169133
214,0.12827963
215,0.26086965
216,0.62225544
217,0.107854754
218,0.47213456
219,0.18168348
220,0.0871509
221,0.24977863
222,0.15300831
223,0.13234885
224,0.12620364
225,0.15558672
226,0.5238309
227,0.1568641
228,0.40107384
229,0.55697596
230,0.93961114
231,0.5106714
232,0.15734485
233,0.15219775
234,0.12607688
235,0.054338913
236,0.88621026
237,0.5271436
238,0.04630216
239,0.18905802
240,0.20910883
241,0.46538162
242,0.13537274
243,0.1245284
244,0.19824931
245,0.5792408
246,0.15769947
247,0.38883573
248,0.07138499
249,0.17612904
250,0.80469894
251,0.32057017
252,0.7901744
253,0.07714776
254,0.51870286
255,0.06498403
256,0.09584993
257,0.28548023
258,0.6685084
259,0.25231308
260,0.5893749
261,0.1763086
262,0.2559828
263,0.078280695
264,0.43053007
265,0.46401894
266,0.20167845
267,0.61891985
268,0.35028827
269,0.7506453
270,0.12594987
271,0.21810257
272,0.36526722
273,0.10129388
274,0.1478527
275,0.11968286
276,0.2688554
277,0.08871962
278,0.13645793
279,0.52777785
280,0.2277029
281,0.9147706
282,0.32283604
283,0.41841543
284,0.06826008
285,0.12306661
286,0.1571723
287,0.1616127
288,0.37185788
289,0.49199966
290,0.4394042
291,0.8691613
292,0.08197727
293,0.2791325
294,0.15952352
295,0.07883412
296,0.22995795
297,0.11500323
298,0.20932849
299,0.05476489
300,0.10127474
301,0.41727757
302,0.14096794
303,0.13375348
304,0.1248119
305,0.89687824
306,0.32057166
307,0.03226655
308,0.9901802
309,0.89631253
310,0.18919906
311,0.8950012
312,0.21371445
313,0.7911878
314,0.20298979
315,0.31538394
316,0.6411023
317,0.9118674
318,0.12335151
319,0.21490367
320,0.56244135
321,0.6194396
322,0.17369404
323,0.15197441
324,0.1659832
325,0.5636359
326,0.13021743
327,0.13944076
328,0.11002642
329,0.24187122
330,0.09039563
331,0.23128101
332,0.18350239
333,0.16556889
334,0.25785387
335,0.30226126
336,0.31899905
337,0.1829721
338,0.74956894
339,0.3338519
340,0.1564668
341,0.10534452
342,0.13032398
343,0.19554485
344,0.21974295
345,0.2607014
346,0.25747433
347,0.91758025
348,0.5297361
349,0.21314684
350,0.1270875
351,0.46041104
352,0.26219976
353,0.09974831
354,0.654106
355,0.12645607
356,0.09479782
357,0.9025842
358,0.09499472
359,0.37965247
360,0.67163885
361,0.25358176
362,0.17123
363,0.12069593
364,0.21269305
365,0.5475352
366,0.66115534
367,0.31749192
368,0.46524173
369,0.13487567
370,0.7989645
371,0.11837505
372,0.49548042
373,0.11335875
374,0.16130549
375,0.12357113
376,0.07062745
377,0.18487377
378,0.09836699
379,0.13377896
380,0.19800638
381,0.15418269
382,0.21617241
383,0.18385643
384,0.6889415
385,0.1157726
386,0.13014805
387,0.10798935
388,0.14374326
389,0.18696469
390,0.1265083
391,0.10528295
392,0.12362006
393,0.14466111
394,0.51802504
395,0.089700066
396,0.10123155
397,0.4367009
398,0.6730801
399,0.0982717
400,0.21262787
401,0.123485304
402,0.08291939
403,0.21230239
404,0.055521093
405,0.9846919
406,0.99171805
407,0.21606983
408,0.575076
409,0.25608817
410,0.20628329
411,0.3063274
412,0.35507426
413,0.5825607
414,0.19642371
415,0.13627966
416,0.802827
417,0.82113034
418,0.38601696
419,0.09050868
420,0.19839911
421,0.10927953
422,0.08838472
