Id,Probability
0,0.045073666
1,0.04645694
2,0.016596181
3,0.08426527
4,0.09793061
5,0.016615927
6,0.020342173
7,0.019317823
8,0.007965664
9,0.016596181
10,0.031580355
11,0.016596181
12,0.016596181
13,0.04892565
14,0.044772156
15,0.033772632
16,0.037967842
17,0.016596181
18,0.24616376
19,0.05475739
20,0.027958196
21,0.034871414
22,0.016596181
23,0.4444491
24,0.061046753
25,0.016596181
26,0.045238636
27,0.010682685
28,0.046805896
29,0.016596181
30,0.044620037
31,0.009307678
32,0.016596181
33,0.043904997
34,0.32081732
35,0.043604817
36,0.044286564
37,0.016596181
38,0.025711834
39,0.04885682
40,0.2542805
41,0.31483173
42,0.05081201
43,0.016596181
44,0.04442411
45,0.0070392457
46,0.0068169255
47,0.044742625
48,0.021375641
49,0.04535221
50,0.034827903
51,0.009700645
52,0.02499433
53,0.051230587
54,0.037846316
55,0.065318644
56,0.016596181
57,0.15770535
58,0.055509277
59,0.13922983
60,0.051109936
61,0.044278514
62,0.016596181
63,0.0109411795
64,0.016596181
65,0.016596181
66,0.04376977
67,0.045490444
68,0.016596181
69,0.63552916
70,0.015226554
71,0.060039703
72,0.016596181
73,0.28694856
74,0.044092074
75,0.04464593
76,0.04484623
77,0.043561865
78,0.016596181
79,0.04475333
80,0.010242906
81,0.043530192
82,0.016596181
83,0.016596181
84,0.048296437
85,0.016596181
86,0.08787877
87,0.010020749
88,0.031244665
89,0.014618982
90,0.04418595
91,0.034989316
92,0.045851167
93,0.016596181
94,0.02609533
95,0.15014054
96,0.046448
97,0.04655229
98,0.011366081
99,0.016596181
100,0.044495557
101,0.053595386
102,0.009448831
103,0.0464597
104,0.04007663
105,0.017423699
106,0.31922534
107,0.016596181
108,0.016606675
109,0.03098653
110,0.016596181
111,0.016596181
112,0.027522378
113,0.32974017
114,0.09350288
115,0.030736713
116,0.0076897875
117,0.101025306
118,0.019909827
119,0.016596181
120,0.017927198
121,0.046991836
122,0.043510795
123,0.33606216
124,0.0131850075
125,0.04716928
126,0.0088099595
127,0.016596181
128,0.01005272
129,0.045559023
130,0.044204563
131,0.05007744
132,0.016596181
133,0.049115527
134,0.08165426
135,0.016596181
136,0.103675954
137,0.046414357
138,0.016596181
139,0.032759685
140,0.016596181
141,0.014323169
142,0.0026371167
143,0.016596181
144,0.28353035
145,0.016596181
146,0.010599304
147,0.11229044
148,0.009206311
149,0.046407014
150,0.016596181
151,0.045571893
152,0.0022899755
153,0.013379001
154,0.01829862
155,0.04355684
156,0.04745398
157,0.008438498
158,0.04388826
159,0.016959788
160,0.016596181
161,0.024095245
162,0.014191872
163,0.043777574
164,0.011833167
165,0.0066729146
166,0.4683783
167,0.016596181
168,0.30169624
169,0.013742702
170,0.016596181
171,0.011518483
172,0.02770455
173,0.04584122
174,0.02958613
175,0.32110858
176,0.019099629
